dataset,model,epochs,base_variance,lambda_scale,temperature,test_acc_no_def,conf_acc_no_def,loss_acc_no_def,shadow_acc_no_def,test_acc_dyna,conf_acc_dyna,loss_acc_dyna,shadow_acc_dyna,put_dyna,put_dyna_conf,put_dyna_loss,put_dyna_shadow
sst2,distilbert,15,0.1,2.0,3.2,0.8865,0.7913,0.7961,0.7827,0.8842,0.7101,0.7931,0.7467,0.0378,0.0789,0.0007,0.0337
sst2,distilbert,15,0.1,2.0,3.3,0.8865,0.7913,0.7961,0.7827,0.8842,0.7025,0.793,0.7455,0.0407,0.0865,0.0008,0.0349
sst2,distilbert,15,0.1,2.0,3.4,0.8865,0.7913,0.7961,0.7827,0.8842,0.6931,0.7929,0.7459,0.0438,0.0959,0.0009,0.0345
sst2,distilbert,15,0.1,2.0,3.5,0.8865,0.7913,0.7961,0.7827,0.8842,0.6828,0.7928,0.7453,0.0474,0.1062,0.001,0.0351
sst2,distilbert,15,0.1,2.0,3.6,0.8865,0.7913,0.7961,0.7827,0.8842,0.6721,0.7927,0.7449,0.0512,0.1169,0.0011,0.0355
sst2,distilbert,15,0.1,2.0,3.7,0.8865,0.7913,0.7961,0.7827,0.8842,0.6621,0.7924,0.7443,0.0548,0.1269,0.0014,0.0361
sst2,distilbert,15,0.1,2.0,3.8,0.8865,0.7913,0.7961,0.7827,0.8842,0.6512,0.7923,0.7437,0.0587,0.1378,0.0015,0.0367
sst2,distilbert,15,0.1,2.0,3.9,0.8865,0.7913,0.7961,0.7827,0.8842,0.6392,0.7921,0.7435,0.0628,0.1498,0.0017,0.0369
sst2,distilbert,15,0.1,2.0,4.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.6253,0.792,0.7431,0.0676,0.1637,0.0018,0.0373
sst2,distilbert,15,0.1,2.0,4.1,0.8865,0.7913,0.7961,0.7827,0.8842,0.6105,0.7918,0.7429,0.0727,0.1785,0.002,0.0375
sst2,distilbert,15,0.1,2.0,4.2,0.8865,0.7913,0.7961,0.7827,0.8842,0.5951,0.7917,0.7427,0.0779,0.1939,0.0021,0.0377
sst2,distilbert,15,0.1,2.0,4.3,0.8865,0.7913,0.7961,0.7827,0.8842,0.5789,0.7915,0.7424,0.0835,0.2101,0.0023,0.038
sst2,distilbert,15,0.1,2.0,4.4,0.8865,0.7913,0.7961,0.7827,0.8842,0.5609,0.7914,0.7419,0.0897,0.2281,0.0024,0.0385
sst2,distilbert,15,0.1,2.0,4.5,0.8865,0.7913,0.7961,0.7827,0.8842,0.5413,0.7913,0.7415,0.0964,0.2477,0.0025,0.0389
sst2,distilbert,15,0.1,2.0,4.6,0.8865,0.7913,0.7961,0.7827,0.8842,0.521,0.7911,0.7412,0.1033,0.268,0.0027,0.0392
sst2,distilbert,15,0.1,2.0,4.7,0.8865,0.7913,0.7961,0.7827,0.8842,0.4981,0.7908,0.7409,0.1111,0.2909,0.003,0.0395
sst2,distilbert,15,0.1,2.0,4.8,0.8865,0.7913,0.7961,0.7827,0.8842,0.4752,0.7907,0.7405,0.1189,0.3138,0.0031,0.0399
sst2,distilbert,15,0.1,2.0,4.9,0.8865,0.7913,0.7961,0.7827,0.8842,0.4509,0.7906,0.7399,0.1273,0.3381,0.0032,0.0405
sst2,distilbert,15,0.1,2.0,5.0,0.8865,0.7913,0.7961,0.7827,0.8842,0.4231,0.7904,0.7398,0.1366,0.3659,0.0034,0.0406
sst2,distilbert,15,0.1,2.0,5.1,0.8865,0.7913,0.7961,0.7827,0.8842,0.3942,0.7903,0.7394,0.1464,0.3948,0.0035,0.041
sst2,distilbert,15,0.1,2.0,5.2,0.8865,0.7913,0.7961,0.7827,0.8842,0.3659,0.7901,0.7392,0.156,0.4231,0.0037,0.0412
sst2,distilbert,15,0.1,2.0,5.3,0.8865,0.7913,0.7961,0.7827,0.8842,0.3368,0.7898,0.7388,0.1659,0.4522,0.004,0.0416
sst2,distilbert,15,0.1,2.0,5.4,0.8865,0.7913,0.7961,0.7827,0.8842,0.3103,0.7897,0.7385,0.1749,0.4787,0.0041,0.0419
sst2,distilbert,15,0.1,2.0,5.5,0.8865,0.7913,0.7961,0.7827,0.8842,0.2853,0.7894,0.7384,0.1834,0.5037,0.0044,0.042
sst2,distilbert,15,0.1,2.0,5.6,0.8865,0.7913,0.7961,0.7827,0.8842,0.2641,0.7891,0.738,0.1907,0.5249,0.0047,0.0424
sst2,distilbert,15,0.1,2.0,5.7,0.8865,0.7913,0.7961,0.7827,0.8842,0.2478,0.7889,0.7379,0.1962,0.5412,0.0049,0.0425
sst2,distilbert,15,0.1,2.0,5.8,0.8865,0.7913,0.7961,0.7827,0.8842,0.2346,0.7887,0.7376,0.2008,0.5544,0.0051,0.0428
sst2,distilbert,15,0.1,2.0,5.9,0.8865,0.7913,0.7961,0.7827,0.8842,0.2233,0.7882,0.7374,0.2048,0.5657,0.0056,0.043
